time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
58,2.51500000e+01,-5.09889570e+00,8.743465e-01,2.213019e-01,5.197077e-01,5.925566e-01,,
59,2.51500000e+01,-5.09894403e+00,8.743465e-01,2.212543e-01,5.196324e-01,5.925147e-01,,
60,2.51500000e+01,-5.09897234e+00,8.743465e-01,2.212511e-01,5.195896e-01,5.925550e-01,,
61,2.51500000e+01,-5.09898665e+00,8.743465e-01,2.212872e-01,5.195936e-01,5.926470e-01,,
62,2.51500000e+01,-5.09903819e+00,8.743465e-01,2.213038e-01,5.195930e-01,5.926923e-01,,
63,2.51500000e+01,-5.09908321e+00,8.743465e-01,2.212697e-01,5.195482e-01,5.926520e-01,,
64,2.51500000e+01,-5.09910847e+00,8.743465e-01,2.212370e-01,5.195020e-01,5.926172e-01,,
65,2.51500000e+01,-5.09911760e+00,8.743465e-01,2.212550e-01,5.195030e-01,5.926642e-01,,
66,2.51500000e+01,-5.09913592e+00,8.743465e-01,2.212976e-01,5.195394e-01,5.927369e-01,,
67,2.51500000e+01,-5.09917593e+00,8.743465e-01,2.213054e-01,5.195499e-01,5.927458e-01,,
68,2.51500000e+01,-5.09920180e+00,8.743465e-01,2.212775e-01,5.195183e-01,5.927070e-01,,
69,2.51500000e+01,-5.09921231e+00,8.743465e-01,2.212744e-01,5.195039e-01,5.927152e-01,,
70,2.51500000e+01,-5.09921151e+00,8.743465e-01,2.213152e-01,5.195360e-01,5.927879e-01,,
71,2.51500000e+01,-5.09922882e+00,8.743465e-01,2.213404e-01,5.195713e-01,5.928152e-01,,
72,2.51500000e+01,-5.09925415e+00,8.743465e-01,2.213200e-01,5.195643e-01,5.927685e-01,,
73,2.51500000e+01,-5.09926380e+00,8.743465e-01,2.212910e-01,5.195340e-01,5.927254e-01,,
74,2.51500000e+01,-5.09925994e+00,8.743465e-01,2.213014e-01,5.195379e-01,5.927487e-01,,
75,2.51500000e+01,-5.09925839e+00,8.743465e-01,2.213415e-01,5.195798e-01,5.928083e-01,,
76,2.51500000e+01,-5.09927579e+00,8.743465e-01,2.213487e-01,5.195933e-01,5.928120e-01,,
77,2.51500000e+01,-5.09928843e+00,8.743465e-01,2.213199e-01,5.195676e-01,5.927644e-01,,
78,2.51500000e+01,-5.09929173e+00,8.743465e-01,2.213029e-01,5.195523e-01,5.927362e-01,,
79,2.51500000e+01,-5.09928975e+00,8.743465e-01,2.213272e-01,5.195790e-01,5.927711e-01,,
80,2.51500000e+01,-5.09929618e+00,8.743465e-01,2.213500e-01,5.196062e-01,5.928008e-01,,
81,2.51500000e+01,-5.09931223e+00,8.743465e-01,2.213309e-01,5.195969e-01,5.927605e-01,,
82,2.51500000e+01,-5.09932359e+00,8.743465e-01,2.213023e-01,5.195678e-01,5.927170e-01,,
83,2.51500000e+01,-5.09932561e+00,8.743465e-01,2.213067e-01,5.195656e-01,5.927314e-01,,
84,2.51500000e+01,-5.09931623e+00,8.743465e-01,2.213387e-01,5.195913e-01,5.927878e-01,,
85,2.51500000e+01,-5.09932439e+00,8.743465e-01,2.213527e-01,5.196090e-01,5.928049e-01,,
86,2.51500000e+01,-5.09933310e+00,8.743465e-01,2.213233e-01,5.195855e-01,5.927530e-01,,
87,2.51500000e+01,-5.09933749e+00,8.743465e-01,2.213034e-01,5.195610e-01,5.927277e-01,,
88,2.51500000e+01,-5.09933227e+00,8.743465e-01,2.213192e-01,5.195705e-01,5.927592e-01,,
89,2.51500000e+01,-5.09932480e+00,8.743465e-01,2.213435e-01,5.195914e-01,5.928005e-01,,
90,2.51500000e+01,-5.09933131e+00,8.743465e-01,2.213485e-01,5.195940e-01,5.928109e-01,,
91,2.51500000e+01,-5.09933585e+00,8.743465e-01,2.213242e-01,5.195643e-01,5.927798e-01,,
92,2.51500000e+01,-5.09933032e+00,8.743465e-01,2.213155e-01,5.195502e-01,5.927725e-01,,
93,2.51500000e+01,-5.09931604e+00,8.743465e-01,2.213363e-01,5.195675e-01,5.928084e-01,,
94,2.51500000e+01,-5.09931150e+00,8.743465e-01,2.213532e-01,5.195852e-01,5.928335e-01,,
95,2.51500000e+01,-5.09931826e+00,8.743465e-01,2.213400e-01,5.195734e-01,5.928116e-01,,
96,2.51500000e+01,-5.09932238e+00,8.743465e-01,2.213183e-01,5.195459e-01,5.927849e-01,,
97,2.51500000e+01,-5.09931575e+00,8.743465e-01,2.213262e-01,5.195430e-01,5.928093e-01,,
98,2.51500000e+01,-5.09930565e+00,8.743465e-01,2.213549e-01,5.195665e-01,5.928593e-01,,
99,2.51500000e+01,-5.09930488e+00,8.743465e-01,2.213590e-01,5.195722e-01,5.928637e-01,,
100,2.51500000e+01,-5.09931197e+00,8.743465e-01,2.213331e-01,5.195518e-01,5.928179e-01,,
101,2.51500000e+01,-5.09931385e+00,8.743465e-01,2.213149e-01,5.195310e-01,5.927927e-01,,
102,2.51500000e+01,-5.09930761e+00,8.743465e-01,2.213313e-01,5.195421e-01,5.928241e-01,,
103,2.51500000e+01,-5.09930215e+00,8.743465e-01,2.213526e-01,5.195623e-01,5.928581e-01,,
104,2.51500000e+01,-5.09930983e+00,8.743465e-01,2.213528e-01,5.195618e-01,5.928591e-01,,
105,2.51500000e+01,-5.09931229e+00,8.743465e-01,2.213278e-01,5.195299e-01,5.928285e-01,,
106,2.51500000e+01,-5.09931252e+00,8.743465e-01,2.213229e-01,5.195224e-01,5.928241e-01,,
107,2.51500000e+01,-5.09930598e+00,8.743465e-01,2.213400e-01,5.195403e-01,5.928494e-01,,
108,2.51500000e+01,-5.09930771e+00,8.743465e-01,2.213510e-01,5.195565e-01,5.928602e-01,,
109,2.51500000e+01,-5.09931712e+00,8.743465e-01,2.213326e-01,5.195429e-01,5.928266e-01,,
110,2.51500000e+01,-5.09932102e+00,8.743465e-01,2.213100e-01,5.195162e-01,5.927966e-01,,
111,2.51500000e+01,-5.09931724e+00,8.743465e-01,2.213187e-01,5.195175e-01,5.928185e-01,,
112,2.51500000e+01,-5.09931078e+00,8.743465e-01,2.213465e-01,5.195408e-01,5.928661e-01,,
113,2.51500000e+01,-5.09931372e+00,8.743465e-01,2.213480e-01,5.195454e-01,5.928651e-01,,
114,2.51500000e+01,-5.09932091e+00,8.743465e-01,2.213208e-01,5.195226e-01,5.928182e-01,,
115,2.51500000e+01,-5.09932629e+00,8.743465e-01,2.213062e-01,5.195087e-01,5.927949e-01,,
116,2.51500000e+01,-5.09932414e+00,8.743465e-01,2.213226e-01,5.195230e-01,5.928225e-01,,
117,2.51500000e+01,-5.09932149e+00,8.743465e-01,2.213406e-01,5.195420e-01,5.928491e-01,,
118,2.51500000e+01,-5.09933016e+00,8.743465e-01,2.213362e-01,5.195395e-01,5.928402e-01,,
119,2.51500000e+01,-5.09933420e+00,8.743465e-01,2.213137e-01,5.195102e-01,5.928132e-01,,
120,2.51500000e+01,-5.09933253e+00,8.743465e-01,2.213136e-01,5.195048e-01,5.928190e-01,,
121,2.51500000e+01,-5.09932664e+00,8.743465e-01,2.213309e-01,5.195241e-01,5.928434e-01,,
122,2.51500000e+01,-5.09932804e+00,8.743465e-01,2.213382e-01,5.195363e-01,5.928491e-01,,
123,2.51500000e+01,-5.09933618e+00,8.743465e-01,2.213198e-01,5.195213e-01,5.928168e-01,,
124,2.51500000e+01,-5.09934134e+00,8.743465e-01,2.212981e-01,5.194968e-01,5.927869e-01,,
125,2.51500000e+01,-5.09933761e+00,8.743465e-01,2.213070e-01,5.195010e-01,5.928059e-01,,
126,2.51500000e+01,-5.09932822e+00,8.743465e-01,2.213351e-01,5.195230e-01,5.928558e-01,,
127,2.51500000e+01,-5.09932966e+00,8.743465e-01,2.213358e-01,5.195240e-01,5.928567e-01,,
128,2.51500000e+01,-5.09933200e+00,8.743465e-01,2.213113e-01,5.195003e-01,5.928182e-01,,
129,2.51500000e+01,-5.09933008e+00,8.743465e-01,2.212988e-01,5.194870e-01,5.927998e-01,,
130,2.51500000e+01,-5.09932443e+00,8.743465e-01,2.213164e-01,5.195030e-01,5.928288e-01,,
131,2.51500000e+01,-5.09932079e+00,8.743465e-01,2.213338e-01,5.195223e-01,5.928533e-01,,
132,2.51500000e+01,-5.09932824e+00,8.743465e-01,2.213263e-01,5.195175e-01,5.928386e-01,,
133,2.51500000e+01,-5.09933219e+00,8.743465e-01,2.213043e-01,5.194897e-01,5.928114e-01,,
134,2.51500000e+01,-5.09932945e+00,8.743465e-01,2.213092e-01,5.194878e-01,5.928267e-01,,
135,2.51500000e+01,-5.09932158e+00,8.743465e-01,2.213271e-01,5.195064e-01,5.928534e-01,,
136,2.51500000e+01,-5.09932277e+00,8.743465e-01,2.213319e-01,5.195181e-01,5.928530e-01,,
137,2.51500000e+01,-5.09932814e+00,8.743465e-01,2.213073e-01,5.194978e-01,5.928104e-01,,
138,2.51500000e+01,-5.09933201e+00,8.743465e-01,2.212915e-01,5.194805e-01,5.927876e-01,,
139,2.51500000e+01,-5.09932961e+00,8.743465e-01,2.213047e-01,5.194902e-01,5.928120e-01,,
140,2.51500000e+01,-5.09932184e+00,8.743465e-01,2.213302e-01,5.195123e-01,5.928550e-01,,
141,2.51500000e+01,-5.09932431e+00,8.743465e-01,2.213288e-01,5.195099e-01,5.928540e-01,,
142,2.51500000e+01,-5.09932751e+00,8.743465e-01,2.213071e-01,5.194873e-01,5.928217e-01,,
143,2.51500000e+01,-5.09932596e+00,8.743465e-01,2.212963e-01,5.194772e-01,5.928043e-01,,
144,2.51500000e+01,-5.09932064e+00,8.743465e-01,2.213130e-01,5.194954e-01,5.928283e-01,,
145,2.51500000e+01,-5.09931999e+00,8.743465e-01,2.213286e-01,5.195146e-01,5.928481e-01,,
146,2.51500000e+01,-5.09932836e+00,8.743465e-01,2.213169e-01,5.195064e-01,5.928260e-01,,
147,2.51500000e+01,-5.09933347e+00,8.743465e-01,2.212944e-01,5.194802e-01,5.927958e-01,,
148,2.51500000e+01,-5.09933025e+00,8.743465e-01,2.212982e-01,5.194766e-01,5.928101e-01,,
149,2.51500000e+01,-5.09932366e+00,8.743465e-01,2.213248e-01,5.195026e-01,5.928517e-01,,
150,2.51500000e+01,-5.09932809e+00,8.743465e-01,2.213281e-01,5.195133e-01,5.928483e-01,,
