time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
58,2.51500000e+01,-5.11163987e+00,8.743465e-01,2.170621e-01,5.223545e-01,5.782588e-01,,
59,2.51500000e+01,-5.11166847e+00,8.743465e-01,2.170672e-01,5.223515e-01,5.782758e-01,,
60,2.51500000e+01,-5.11170838e+00,8.743465e-01,2.170680e-01,5.223462e-01,5.782839e-01,,
61,2.51500000e+01,-5.11174388e+00,8.743465e-01,2.170520e-01,5.223179e-01,5.782725e-01,,
62,2.51500000e+01,-5.11175632e+00,8.743465e-01,2.170401e-01,5.222938e-01,5.782675e-01,,
63,2.51500000e+01,-5.11174576e+00,8.743465e-01,2.170497e-01,5.222910e-01,5.782962e-01,,
64,2.51500000e+01,-5.11173185e+00,8.743465e-01,2.170702e-01,5.223011e-01,5.783397e-01,,
65,2.51500000e+01,-5.11173788e+00,8.743465e-01,2.170702e-01,5.222948e-01,5.783465e-01,,
66,2.51500000e+01,-5.11173647e+00,8.743465e-01,2.170611e-01,5.222736e-01,5.783458e-01,,
67,2.51500000e+01,-5.11171857e+00,8.743465e-01,2.170669e-01,5.222647e-01,5.783711e-01,,
68,2.51500000e+01,-5.11168802e+00,8.743465e-01,2.170876e-01,5.222770e-01,5.784127e-01,,
69,2.51500000e+01,-5.11166667e+00,8.743465e-01,2.171042e-01,5.222910e-01,5.784414e-01,,
70,2.51500000e+01,-5.11165797e+00,8.743465e-01,2.170945e-01,5.222831e-01,5.784243e-01,,
71,2.51500000e+01,-5.11165119e+00,8.743465e-01,2.170838e-01,5.222647e-01,5.784162e-01,,
72,2.51500000e+01,-5.11163480e+00,8.743465e-01,2.170969e-01,5.222694e-01,5.784459e-01,,
73,2.51500000e+01,-5.11160732e+00,8.743465e-01,2.171207e-01,5.222867e-01,5.784900e-01,,
74,2.51500000e+01,-5.11159882e+00,8.743465e-01,2.171291e-01,5.222958e-01,5.785026e-01,,
75,2.51500000e+01,-5.11159948e+00,8.743465e-01,2.171087e-01,5.222805e-01,5.784651e-01,,
76,2.51500000e+01,-5.11159824e+00,8.743465e-01,2.170998e-01,5.222694e-01,5.784537e-01,,
77,2.51500000e+01,-5.11158855e+00,8.743465e-01,2.171112e-01,5.222801e-01,5.784723e-01,,
78,2.51500000e+01,-5.11157740e+00,8.743465e-01,2.171222e-01,5.222926e-01,5.784875e-01,,
79,2.51500000e+01,-5.11158499e+00,8.743465e-01,2.171191e-01,5.222928e-01,5.784790e-01,,
80,2.51500000e+01,-5.11159548e+00,8.743465e-01,2.171043e-01,5.222769e-01,5.784573e-01,,
81,2.51500000e+01,-5.11160026e+00,8.743465e-01,2.170965e-01,5.222696e-01,5.784445e-01,,
82,2.51500000e+01,-5.11159837e+00,8.743465e-01,2.171055e-01,5.222840e-01,5.784527e-01,,
83,2.51500000e+01,-5.11160215e+00,8.743465e-01,2.171087e-01,5.222944e-01,5.784497e-01,,
84,2.51500000e+01,-5.11161952e+00,8.743465e-01,2.170964e-01,5.222884e-01,5.784235e-01,,
85,2.51500000e+01,-5.11164257e+00,8.743465e-01,2.170851e-01,5.222763e-01,5.784067e-01,,
86,2.51500000e+01,-5.11165099e+00,8.743465e-01,2.170860e-01,5.222747e-01,5.784112e-01,,
87,2.51500000e+01,-5.11164977e+00,8.743465e-01,2.170955e-01,5.222821e-01,5.784282e-01,,
88,2.51500000e+01,-5.11165145e+00,8.743465e-01,2.170974e-01,5.222852e-01,5.784298e-01,,
89,2.51500000e+01,-5.11166662e+00,8.743465e-01,2.170844e-01,5.222747e-01,5.784068e-01,,
90,2.51500000e+01,-5.11167608e+00,8.743465e-01,2.170767e-01,5.222626e-01,5.783997e-01,,
91,2.51500000e+01,-5.11167221e+00,8.743465e-01,2.170845e-01,5.222636e-01,5.784192e-01,,
92,2.51500000e+01,-5.11165703e+00,8.743465e-01,2.170974e-01,5.222696e-01,5.784470e-01,,
93,2.51500000e+01,-5.11164895e+00,8.743465e-01,2.171000e-01,5.222664e-01,5.784576e-01,,
94,2.51500000e+01,-5.11164814e+00,8.743465e-01,2.170878e-01,5.222504e-01,5.784428e-01,,
95,2.51500000e+01,-5.11164104e+00,8.743465e-01,2.170834e-01,5.222403e-01,5.784423e-01,,
96,2.51500000e+01,-5.11162441e+00,8.743465e-01,2.170960e-01,5.222470e-01,5.784684e-01,,
97,2.51500000e+01,-5.11160461e+00,8.743465e-01,2.171088e-01,5.222550e-01,5.784936e-01,,
98,2.51500000e+01,-5.11159665e+00,8.743465e-01,2.171104e-01,5.222527e-01,5.785004e-01,,
99,2.51500000e+01,-5.11159289e+00,8.743465e-01,2.170994e-01,5.222331e-01,5.784929e-01,,
100,2.51500000e+01,-5.11158593e+00,8.743465e-01,2.170999e-01,5.222274e-01,5.785005e-01,,
101,2.51500000e+01,-5.11156866e+00,8.743465e-01,2.171109e-01,5.222374e-01,5.785186e-01,,
102,2.51500000e+01,-5.11155425e+00,8.743465e-01,2.171163e-01,5.222449e-01,5.785248e-01,,
103,2.51500000e+01,-5.11155512e+00,8.743465e-01,2.171063e-01,5.222371e-01,5.785067e-01,,
