time,n,URef,J,KT,10KQ,eta0,tours,angle_deg
0.0019697,2.515000e+01,-4.977584e+00,8.704265e-01,2.953493e-01,6.390216e-01,6.402841e-01,0.049531,17.8312
0.002,2.515000e+01,-4.977997e+00,8.704988e-01,2.948186e-01,6.393965e-01,6.388115e-01,0.050293,18.1055
0.0020303,2.515000e+01,-4.978396e+00,8.705687e-01,2.948671e-01,6.401841e-01,6.381821e-01,0.051055,18.3798
0.00206061,2.515000e+01,-4.978797e+00,8.706387e-01,2.949318e-01,6.401136e-01,6.384439e-01,0.051817,18.6542
0.00209091,2.515000e+01,-4.979195e+00,8.707082e-01,2.948566e-01,6.400604e-01,6.383852e-01,0.052579,18.9285
0.00212121,2.515000e+01,-4.979599e+00,8.707789e-01,2.947000e-01,6.394328e-01,6.387237e-01,0.053341,19.2027
0.00215152,2.515000e+01,-4.980006e+00,8.708501e-01,2.945863e-01,6.388821e-01,6.390801e-01,0.054103,19.4771
0.00218182,2.515000e+01,-4.980397e+00,8.709185e-01,2.940447e-01,6.386157e-01,6.382215e-01,0.054865,19.7514
0.00221212,2.515000e+01,-4.980786e+00,8.709865e-01,2.941473e-01,6.388810e-01,6.382286e-01,0.055627,20.0257
0.00224242,2.515000e+01,-4.981151e+00,8.710504e-01,2.937481e-01,6.394749e-01,6.368176e-01,0.056389,20.3000
0.00227273,2.515000e+01,-4.981507e+00,8.711127e-01,2.937939e-01,6.400478e-01,6.363920e-01,0.057151,20.5744
0.00230303,2.515000e+01,-4.981854e+00,8.711733e-01,2.933145e-01,6.395729e-01,6.358700e-01,0.057913,20.8487
0.00233333,2.515000e+01,-4.982184e+00,8.712310e-01,2.929312e-01,6.396571e-01,6.349973e-01,0.058675,21.1230
0.00236364,2.515000e+01,-4.982518e+00,8.712894e-01,2.930628e-01,6.396355e-01,6.353465e-01,0.059437,21.3974
0.00239394,2.515000e+01,-4.982887e+00,8.713540e-01,2.936170e-01,6.387336e-01,6.374942e-01,0.060199,21.6717
0.00242424,2.515000e+01,-4.983271e+00,8.714211e-01,2.939177e-01,6.384693e-01,6.384606e-01,0.060961,21.9460
0.00245455,2.515000e+01,-4.983635e+00,8.714847e-01,2.934528e-01,6.387241e-01,6.372428e-01,0.061723,22.2204
0.00248485,2.515000e+01,-4.983954e+00,8.715406e-01,2.925432e-01,6.395560e-01,6.344817e-01,0.062485,22.4947
0.00251515,2.515000e+01,-4.984253e+00,8.715929e-01,2.920259e-01,6.396281e-01,6.333264e-01,0.063247,22.7690
0.00254545,2.515000e+01,-4.984566e+00,8.716476e-01,2.921466e-01,6.390785e-01,6.341728e-01,0.064009,23.0433
0.00257576,2.515000e+01,-4.984893e+00,8.717048e-01,2.921740e-01,6.384045e-01,6.349435e-01,0.064771,23.3177
0.00260606,2.515000e+01,-4.985205e+00,8.717593e-01,2.919607e-01,6.388273e-01,6.340996e-01,0.065533,23.5920
0.00263636,2.515000e+01,-4.985510e+00,8.718128e-01,2.920462e-01,6.393675e-01,6.337886e-01,0.066295,23.8663
0.00266667,2.515000e+01,-4.985805e+00,8.718642e-01,2.914962e-01,6.389553e-01,6.330403e-01,0.067057,24.1407
0.00269697,2.515000e+01,-4.986089e+00,8.719140e-01,2.912512e-01,6.390448e-01,6.324560e-01,0.067819,24.4149
0.00272727,2.515000e+01,-4.986383e+00,8.719652e-01,2.910715e-01,6.383271e-01,6.328136e-01,0.068581,24.6892
0.00275758,2.515000e+01,-4.986707e+00,8.720219e-01,2.914797e-01,6.372752e-01,6.347881e-01,0.069343,24.9636
0.00278788,2.515000e+01,-4.987038e+00,8.720798e-01,2.914624e-01,6.369477e-01,6.351193e-01,0.070105,25.2379
0.00281818,2.515000e+01,-4.987352e+00,8.721348e-01,2.911622e-01,6.373957e-01,6.340587e-01,0.070867,25.5122
0.00284848,2.515000e+01,-4.987589e+00,8.721763e-01,2.896594e-01,6.388536e-01,6.293768e-01,0.071629,25.7865
0.00287879,2.515000e+01,-4.987817e+00,8.722160e-01,2.894134e-01,6.389416e-01,6.287842e-01,0.072391,26.0609
0.00290909,2.515000e+01,-4.988079e+00,8.722620e-01,2.899034e-01,6.381360e-01,6.306771e-01,0.073153,26.3352
0.00293939,2.515000e+01,-4.988364e+00,8.723117e-01,2.900541e-01,6.372136e-01,6.319546e-01,0.073915,26.6095
0.0029697,2.515000e+01,-4.988650e+00,8.723616e-01,2.899550e-01,6.370251e-01,6.319617e-01,0.074678,26.8839
0.003,2.515000e+01,-4.988925e+00,8.724098e-01,2.895505e-01,6.367487e-01,6.313891e-01,0.075439,27.1582
0.00303125,2.515000e+01,-4.989186e+00,8.724554e-01,2.891921e-01,6.366971e-01,6.306915e-01,0.076225,27.4411
0.0030625,2.515000e+01,-4.989457e+00,8.725028e-01,2.896487e-01,6.375000e-01,6.309257e-01,0.077011,27.7240
0.00309375,2.515000e+01,-4.989729e+00,8.725505e-01,2.894172e-01,6.372525e-01,6.307009e-01,0.077797,28.0069
0.003125,2.515000e+01,-4.990012e+00,8.726000e-01,2.889797e-01,6.359305e-01,6.310927e-01,0.078583,28.2898
0.00315625,2.515000e+01,-4.990274e+00,8.726457e-01,2.880705e-01,6.352897e-01,6.297743e-01,0.079369,28.5727
0.0031875,2.515000e+01,-4.990511e+00,8.726872e-01,2.873774e-01,6.354061e-01,6.281739e-01,0.080154,28.8556
0.00321875,2.515000e+01,-4.990749e+00,8.727288e-01,2.876043e-01,6.360489e-01,6.280646e-01,0.080940,29.1385
0.00325,2.515000e+01,-4.990999e+00,8.727726e-01,2.879190e-01,6.361605e-01,6.286729e-01,0.081726,29.4214
0.00328125,2.515000e+01,-4.991250e+00,8.728164e-01,2.876544e-01,6.356798e-01,6.286018e-01,0.082512,29.7043
0.0033125,2.515000e+01,-4.991506e+00,8.728612e-01,2.876816e-01,6.355308e-01,6.288410e-01,0.083298,29.9872
0.00334375,2.515000e+01,-4.991777e+00,8.729085e-01,2.876224e-01,6.346068e-01,6.296608e-01,0.084084,30.2701
0.003375,2.515000e+01,-4.992041e+00,8.729548e-01,2.870841e-01,6.339350e-01,6.291820e-01,0.084869,30.5530
0.00340625,2.515000e+01,-4.992305e+00,8.730009e-01,2.868203e-01,6.336307e-01,6.289392e-01,0.085655,30.8359
0.0034375,2.515000e+01,-4.992526e+00,8.730396e-01,2.859088e-01,6.345552e-01,6.260548e-01,0.086441,31.1188
0.00346875,2.515000e+01,-4.992755e+00,8.730795e-01,2.860055e-01,6.345405e-01,6.263096e-01,0.087227,31.4017
0.0035,2.515000e+01,-4.992995e+00,8.731215e-01,2.859356e-01,6.338444e-01,6.268742e-01,0.088013,31.6846
