time,n,U_aval,J,KT,10KQ,eta0,tours,angle_deg
58,2.51500000e+01,-5.10953751e+00,8.743465e-01,2.139459e-01,5.414991e-01,5.498067e-01,,
59,2.51500000e+01,-5.10956442e+00,8.743465e-01,2.139643e-01,5.415241e-01,5.498286e-01,,
60,2.51500000e+01,-5.10957262e+00,8.743465e-01,2.139599e-01,5.415302e-01,5.498110e-01,,
61,2.51500000e+01,-5.10956490e+00,8.743465e-01,2.139636e-01,5.415338e-01,5.498168e-01,,
62,2.51500000e+01,-5.10954485e+00,8.743465e-01,2.139950e-01,5.415577e-01,5.498734e-01,,
63,2.51500000e+01,-5.10953244e+00,8.743465e-01,2.140266e-01,5.415834e-01,5.499282e-01,,
64,2.51500000e+01,-5.10952686e+00,8.743465e-01,2.140280e-01,5.415843e-01,5.499311e-01,,
65,2.51500000e+01,-5.10950109e+00,8.743465e-01,2.140118e-01,5.415617e-01,5.499123e-01,,
66,2.51500000e+01,-5.10946821e+00,8.743465e-01,2.140127e-01,5.415486e-01,5.499279e-01,,
67,2.51500000e+01,-5.10943175e+00,8.743465e-01,2.140396e-01,5.415593e-01,5.499864e-01,,
68,2.51500000e+01,-5.10941310e+00,8.743465e-01,2.140526e-01,5.415653e-01,5.500136e-01,,
69,2.51500000e+01,-5.10940472e+00,8.743465e-01,2.140364e-01,5.415502e-01,5.499873e-01,,
70,2.51500000e+01,-5.10938397e+00,8.743465e-01,2.140127e-01,5.415211e-01,5.499557e-01,,
71,2.51500000e+01,-5.10936036e+00,8.743465e-01,2.140175e-01,5.415138e-01,5.499755e-01,,
72,2.51500000e+01,-5.10934840e+00,8.743465e-01,2.140444e-01,5.415306e-01,5.500276e-01,,
73,2.51500000e+01,-5.10934497e+00,8.743465e-01,2.140414e-01,5.415303e-01,5.500203e-01,,
74,2.51500000e+01,-5.10934359e+00,8.743465e-01,2.140128e-01,5.415122e-01,5.499652e-01,,
75,2.51500000e+01,-5.10934036e+00,8.743465e-01,2.139940e-01,5.414961e-01,5.499333e-01,,
76,2.51500000e+01,-5.10933424e+00,8.743465e-01,2.140044e-01,5.415044e-01,5.499516e-01,,
77,2.51500000e+01,-5.10933886e+00,8.743465e-01,2.140257e-01,5.415242e-01,5.499862e-01,,
78,2.51500000e+01,-5.10935076e+00,8.743465e-01,2.140167e-01,5.415227e-01,5.499645e-01,,
79,2.51500000e+01,-5.10936067e+00,8.743465e-01,2.139903e-01,5.415058e-01,5.499140e-01,,
80,2.51500000e+01,-5.10936320e+00,8.743465e-01,2.139766e-01,5.414951e-01,5.498894e-01,,
81,2.51500000e+01,-5.10936649e+00,8.743465e-01,2.139921e-01,5.415103e-01,5.499140e-01,,
82,2.51500000e+01,-5.10936999e+00,8.743465e-01,2.140065e-01,5.415235e-01,5.499376e-01,,
83,2.51500000e+01,-5.10938119e+00,8.743465e-01,2.139993e-01,5.415196e-01,5.499230e-01,,
84,2.51500000e+01,-5.10938596e+00,8.743465e-01,2.139798e-01,5.415010e-01,5.498919e-01,,
85,2.51500000e+01,-5.10937605e+00,8.743465e-01,2.139725e-01,5.414898e-01,5.498844e-01,,
86,2.51500000e+01,-5.10936555e+00,8.743465e-01,2.139940e-01,5.415040e-01,5.499253e-01,,
87,2.51500000e+01,-5.10935746e+00,8.743465e-01,2.140081e-01,5.415129e-01,5.499524e-01,,
88,2.51500000e+01,-5.10934826e+00,8.743465e-01,2.139985e-01,5.415021e-01,5.499389e-01,,
89,2.51500000e+01,-5.10933664e+00,8.743465e-01,2.139846e-01,5.414825e-01,5.499230e-01,,
90,2.51500000e+01,-5.10931456e+00,8.743465e-01,2.139885e-01,5.414753e-01,5.499403e-01,,
